Key,Source,Context,Changes,English,tchinese
aoonews,,,,"This is the first stable release for A21, at least we hope it is stable. Please report any issues to our Discord. \n\n There are not any AOO Pregens right now. You must use a new RWG World that has been generated with AOO Installed.",這是A21的第一個穩定版本，至少我們希望它穩定。請向我們的Discord報告任何問題。 \ n \ n現在沒有任何AOO預元。您必須使用已安裝AOO生成的新RWG世界。
,,,,,
,,,,,
wksMagazineMachine,blocks,Workstation,,Magazine Vending Machine,雜誌自動售貨機
,,,,,
,,,,,
blockcommand_TeddyBear,UI,Radial blockcommand,,Bet on Teddy Bear,押注泰迪熊
blockcommand_Scissors,UI,Radial blockcommand,,Bet on Scissors,押注剪刀
blockcommand_SoccerBall,UI,Radial blockcommand,,Bet on Soccer Ball,押注足球
blockcommand_Dummy,UI,Radial blockcommand,,Do Not Bet,不押注
modDyeBasicAmber420,item_modifiers,mod,New,Dye: (Basic) Amber,染料：琥珀（基本）
modDyeBasicBlue420,item_modifiers,mod,New,Dye: (Basic) Blue,染料：藍色（基本）
modDyeBasicBrown420,item_modifiers,mod,New,Dye: (Basic) Brown,染料：棕色（基本）
modDyeBasicFuchsia420,item_modifiers,mod,New,Dye: (Basic) Fuchsia,染料：紫紅（基本）
modDyeBasicGreen420,item_modifiers,mod,New,Dye: (Basic) Green,染料：綠色（基本）
modDyeBasicGrey420,item_modifiers,mod,New,Dye: (Basic) Grey,染料：灰色（基本）
modDyeBasicIndigo420,item_modifiers,mod,New,Dye: (Basic) Indigo,染料：靛藍（基本）
modDyeBasicLime420,item_modifiers,mod,New,Dye: (Basic) Lime,染料：萊姆（基本）
modDyeBasicOrange420,item_modifiers,mod,New,Dye: (Basic) Orange,染料：橘色（基本）
modDyeBasicPink420,item_modifiers,mod,New,Dye: (Basic) Pink,染料：粉紅色（基本）
modDyeBasicPurple420,item_modifiers,mod,New,Dye: (Basic) Purple,染料：紫色（基本）
modDyeBasicRed420,item_modifiers,mod,New,Dye: (Basic) Red,染料：紅色（基本）
modDyeBasicRose420,item_modifiers,mod,New,Dye: (Basic) Rose,染料：玫瑰（基本）
modDyeBasicSilver420,item_modifiers,mod,New,Dye: (Basic) Silver,染料：銀色（基本）
modDyeBasicTeal420,item_modifiers,mod,New,Dye: (Basic) Teal,染料：青色（基本）
modDyeBasicTrueBlack420,item_modifiers,mod,New,Dye: (Basic) Void Black,染料：虛空黑（基本）
modDyeBasicBlack420,item_modifiers,mod,New,Dye: (Basic) Black,染料：黑色（基本）
modDyeBasicViolet420,item_modifiers,mod,New,Dye: (Basic) Violet,染料：紫羅蘭（基本）
modDyeBasicYellow420,item_modifiers,mod,New,Dye: (Basic) Yellow,染料：黃色（基本）
modDyeBasicEmperors420,item_modifiers,mod,New,Dye: (Basic) The Emperors new dye,染料：皇帝的新染料（基本）
modDyeBasicEmperors420Desc,item_modifiers,mod,,Look at all the pretty colours!,看看所有漂亮的顏色！
dyeVat420,blocks,Workstation,,Dye Vat,染料槽
dyeVat420Desc,blocks,Workstation,,A station specifically for crafting dyes,專門用於製作染料的工作站
,,,,,
modDyeAFGreyAsh420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Ash,染料：灰燼（武裝部隊-灰色）
modDyeAFGreyBlackCoral420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Black Coral,染料：黑珊瑚（武裝部隊-灰色）
modDyeAFGreyCadet420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Cadet,染料：軍校生（武裝部隊-灰色）
modDyeAFGreyCharcoal420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Charcoal,染料：木炭（武裝部隊-灰色）
modDyeAFGreyDarkSlate420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Dark Slate,染料：深板岩（武裝部隊-灰色）
modDyeAFGreyGunmetal420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Gunmetal,染料：槍色（武裝部隊-灰色）
modDyeAFGreenArmy420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Army,染料：軍隊（武裝部隊-綠色）
modDyeAFGreenArtichoke420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Artichoke,染料：朝鮮薊（武裝部隊-綠色）
modDyeAFGreenDarkJungle420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Dark Jungle,染料：深叢林（武裝部隊-綠色）
modDyeAFGreenDarkMoss420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Dark Moss,染料：深苔蘚（武裝部隊-綠色）
modDyeAFGreenHunter420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Hunter,染料：獵人（武裝部隊-綠色）
modDyeAFGreenMustard420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Mustard,染料：芥末（武裝部隊-綠色）
modDyeAFGreenOldMoss420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Old Moss,染料：老苔蘚（武裝部隊-綠色）
modDyeAFGreenBlackOlive420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Black Olive,染料：黑橄欖（武裝部隊-綠色）
modDyeAFGreenOlive420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Olive,染料：橄欖（武裝部隊-綠色）
modDyeAFGreenOliveLight420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Olive Light,染料：淺橄欖（武裝部隊-綠色）
modDyeAFBrownKhaki420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Khaki,染料：卡其（武裝部隊-棕色）
modDyeAFBrownDarkKhaki420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Dark Khaki,染料：深卡其（武裝部隊-棕色）
modDyeAFBrownSand420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Sand,染料：沙子（武裝部隊-棕色）
modDyeAFBrownDesert420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Desert,染料：沙漠（武裝部隊-棕色）
modDyeAFBrownDirt420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Dirt,染料：泥土（武裝部隊-棕色）
modDyeAFBrownEcru420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Ecru,染料：原色（武裝部隊-棕色）
modDyeAFBrownFieldDrab420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Field Drab,染料：軍用黃褐色（武裝部隊-棕色）
modDyeAFBluePolice420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Police,染料：警察（武裝部隊-藍色）
modDyeAFBluePrussian420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Prussian,染料：普魯士（武裝部隊-藍色）
modDyeAFBlueQueen420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Queen,染料：皇后（武裝部隊-藍色）
modDyeAFBlueNavy420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Navy,染料：海軍（武裝部隊-藍色）
modDyeAFBlueIndigo420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Indigo,染料：靛藍（武裝部隊-藍色）
