Key,Source,Context,Changes,English,tchinese
,,,,,
plantedAgaveSeedTSK_AOO,items,Crop,,Agave (Seed),龍舌蘭（種子）
plantedAgaveGrowingTSK_AOO,items,Crop,,Agave (Growing),龍舌蘭（生長中）
plantedAgavePlantHarvestTSK_AOO,items,Crop,,Agave (Ready),龍舌蘭（已成熟）
plantedAgavePlantWildTSK_AOO,items,Crop,,Agave (Harvestable),龍舌蘭（可收成）
,,,,,
plantedAvocadoTreeSeedTSK_AOO,items,Crop,,Avocado (Seed),酪梨（種子）
plantedAvocadoTreeGrowingTSK_AOO,items,Crop,,Avocado (Growing),酪梨（生長中）
plantedAvocadoTreePlantHarvestTSK_AOO,items,Crop,,Avocado (Ready),酪梨（已成熟）
plantedAvocadoTreePlantWildTSK_AOO,items,Crop,,Avocado (Harvestable),酪梨（可收成）
,,,,,
plantedBananaTreeSeedAOO,items,Crop,,Banana Tree (Seed),香蕉樹（種子）
plantedBananaTreeGrowingAOO,items,Crop,,Banana Tree (Growing),香蕉樹（生長中）
plantedBananaTreePlantHarvestAOO,items,Crop,,Banana Tree (Ready),香蕉樹（已成熟）
plantedBananaTreePlantWildAOO,items,Crop,,Banana Tree (Harvestable),香蕉樹（可收成）
,,,,,
plantedBroccoliSeedAOO,items,Crop,,Broccoli (Seed),花椰菜（種子）
plantedBroccoliGrowingAOO,items,Crop,,Broccoli (Growing),花椰菜（生長中）
plantedBroccoliPlantHarvestAOO,items,Crop,,Broccoli (Ready),花椰菜（已成熟）
plantedBroccoliPlantWildAOO,items,Crop,,Broccoli (Harvestable),花椰菜（可收成）
,,,,,
plantedCabbageSeedAOO,items,Crop,,Cabbage (Seed),高麗菜（種子）
plantedCabbageGrowingAOO,items,Crop,,Cabbage (Growing),高麗菜（生長中）
plantedCabbagePlantHarvestAOO,items,Crop,,Cabbage (Ready),高麗菜（已成熟）
plantedCabbagePlantWildAOO,items,Crop,,Cabbage (Harvestable),高麗菜（可收成）
,,,,,
plantedCacaoTreeSeedTSK_AOO,items,Crop,,Cacao Tree (Seed),可可樹（種子）
plantedCacaoTreeGrowingTSK_AOO,items,Crop,,Cacao Tree (Growing),可可樹（生長中）
plantedCacaoTreePlantHarvestTSK_AOO,items,Crop,,Cacao Tree (Ready),可可樹（已成熟）
plantedCacaoTreePlantWildTSK_AOO,items,Crop,,Cacao Tree (Harvestable),可可樹（可收成）
,,,,,
plantedCarrotSeedAOO,items,Crop,,Carrot (Seed),胡蘿蔔（種子）
plantedCarrotGrowingAOO,items,Crop,,Carrot (Growing),胡蘿蔔（生長中）
plantedCarrotPlantHarvestAOO,items,Crop,,Carrot (Ready),胡蘿蔔（已成熟）
plantedCarrotPlantWildAOO,items,Crop,,Carrot (Harvestable),胡蘿蔔（可收成）
,,,,,
plantedCatsClawSeedTSK_AOO,blocks,Crop,New,Cat's Claw (Seed),貓爪藤（種子）
plantedCatsClawPlantWildTSK_AOO2,blocks,Crop,New,Cat's Claw (Growing),貓爪藤（生長中）
plantedCatsClawPlantHarvestTSK_AOO,blocks,Crop,New,Cat's Claw (Ready),貓爪藤（已成熟）
plantedCatsClawPlantWildTSK_AOO,blocks,Crop,New,Cat's Claw (Harvestable),貓爪藤（可收成）
,,,,,
plantedCelerySeedAOO,items,Crop,,Celery (Seed),芹菜（種子）
plantedCeleryGrowingAOO,items,Crop,,Celery (Growing),芹菜（生長中）
plantedCeleryPlantHarvestAOO,items,Crop,,Celery (Ready),芹菜（已成熟）
