Key,Source,Context,Changes,English,tchinese,中文機翻
,,,,,,
buffIllFoodPoisoning01Name,buffs,Buff,,Food Poisoning,食物中毒,食物中毒
foodBBQSauceAOO,items,Food,,BBQ Sauce,烤肉醬,烤肉醬
foodBBQSauceAOOSchematic,items,Food,,BBQ Sauce Recipe,烤肉醬食譜,烤肉醬食譜
foodBBQSauceAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food  \n\n[abddfc]DESCRIPTION:[ffffff]It's time to get saucy!,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]是時候來點醬汁了！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]是時候來點醬汁了！
,,,,,,
foodBagelAOO,items,Food,,Bagel,貝果,貝果
foodBagelAOOSchematic,items,Food,,Bagel Recipe,貝果食譜,貝果食譜
foodBagelAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food  \n[abddfc]UNLOCKED BY: [ffffff] \n\n[abddfc]DESCRIPTION:[ffffff]Little-known fact: a bagel is the favorite food of most golfers. Why? There's a hole in one.,[abddfc]類型：[ffffff]食物\n[abddfc]解鎖條件：[ffffff]\n\n[abddfc]說明：[ffffff]鮮為人知的事實：貝果是大多數高爾夫球手的最愛食物。為什麼？因為它有一個洞。,[abddfc]類型：[ffffff]食物\n[abddfc]解鎖條件：[ffffff]\n\n[abddfc]說明：[ffffff]鮮為人知的事實：貝果是大多數高爾夫球手的最愛食物。為什麼？因為它有一個洞。
,,,,,,
foodBreadAOO,items,Food,,Bread,麵包,麵包
foodBreadAOOSchematic,items,Food,,Homemade Bread Recipe,自製麵包食譜,自製麵包食譜
foodBreadAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Many say it's the best thing ever.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]許多人說這是史上最棒的東西。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]許多人說這是史上最棒的東西。
,,,,,,
foodButterAOO,items,Food,,Butter,奶油,奶油
foodButterAOOSchematic,items,Food,,Home-Churned Butter Recipe,自製奶油食譜,自製奶油食譜
foodButterAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Used as an ingredient in tasty recipies.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]用於美味食譜的成分。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]用於美味食譜的成分。
,,,,,,
foodCheeseAOO,items,Food,,Cheese,起司,起司
foodCheeseAOOSchematic,items,Food,,Homemade Cheeses Recipe,自製起司食譜,自製起司食譜
foodCheeseAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Used as an ingredient in tasty recipies.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]用於美味食譜的成分。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]用於美味食譜的成分。
,,,,,,
foodCreamAOO,items,Food,,Cream,鮮奶油,鮮奶油
foodCreamAOOSchematic,items,Food,,Cream Recipe,鮮奶油食譜,鮮奶油食譜
foodCreamAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Freshly whipped cream, used as an igredient in tasty recipies.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]新鮮打發的鮮奶油，用於美味食譜的成分。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]新鮮打發的鮮奶油，用於美味食譜的成分。
,,,,,,
foodCreamCheeseAOO,items,Food,,Cream Cheese,奶油乳酪,奶油乳酪
foodCreamCheeseAOOSchematic,items,Food,,Cream Cheese Recipe,奶油乳酪食譜,奶油乳酪食譜
foodCreamCheeseAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Exactly as simple to make as you suspected all along.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]就像你一直懷疑的那樣簡單。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]就像你一直懷疑的那樣簡單。
,,,,,,
foodDoughAOO,items,Food,,Freshly Kneaded Dough,新鮮揉好的麵團,新鮮揉好的麵團
foodDoughAOOSchematic,items,Food,,"Freshly Kneaded Dough Recipe""",新鮮揉好的麵團食譜,新鮮揉好的麵團食譜
