Key,Source,Context,Changes,English,tchinese
,,,,,
,,,,,
vehicleBattle01,entity,Entity,,Derby Buggy,Derby Buggy
vehicleBattle01Placeable,item,Items,,Derby Buggy,Derby Buggy
vehicleBlockBattle01,block,Blocks,,Derby Buggy (Locked),Derby Buggy (鎖定)
vehicleLootBlockBattle01,block,Blocks,,Derby Buggy,Derby Buggy
vehicleLoot2BlockBattle01,block,Blocks,,Derby Buggy,Derby Buggy
vehicleBlockBattle01Pickup,block,Blocks,,Derby Buggy - Driveable,Derby Buggy - 可駕駛
vehicleBlockBattle01Empty,block,Blocks,,Derby Buggy - Broken,Derby Buggy - 損壞
,,,,,
vehicleBattle02,entity,Entity,,Derby #1,Derby #1
vehicleBattle02Placeable,item,Items,,Derby #1,Derby #1
vehicleBlockBattle02,block,Blocks,,Derby #1 (Locked),Derby #1 (鎖定)
vehicleLootBlockBattle02,block,Blocks,,Derby #1,Derby #1
vehicleLoot2BlockBattle02,block,Blocks,,Derby #1,Derby #1
vehicleBlockBattle02Pickup,block,Blocks,,Derby #1 - Driveable,Derby #1 - 可駕駛
vehicleBlockBattle02Empty,block,Blocks,,Derby #1 - Broken,Derby #1 - 損壞
,,,,,
vehicleBattle03,entity,Entity,,Derby #2,Derby #2
vehicleBattle03Placeable,item,Items,,Derby #2,Derby #2
vehicleBlockBattle03,block,Blocks,,Derby #2 (Locked),Derby #2 (鎖定)
vehicleLootBlockBattle03,block,Blocks,,Derby #2,Derby #2
vehicleLoot2BlockBattle03,block,Blocks,,Derby #2,Derby #2
vehicleBlockBattle03Pickup,block,Blocks,,Derby #2 - Driveable,Derby #2 - 可駕駛
vehicleBlockBattle03Empty,block,Blocks,,Derby #2 - Broken,Derby #2 - 損壞
,,,,,
vehicleBattle04,entity,Entity,,Derby #3,Derby #3
vehicleBattle04Placeable,item,Items,,Derby #3,Derby #3
vehicleBlockBattle04,block,Blocks,,Derby #3 (Locked),Derby #3 (鎖定)
vehicleLootBlockBattle04,block,Blocks,,Derby #3,Derby #3
vehicleLoot2BlockBattle04,block,Blocks,,Derby #3,Derby #3
vehicleBlockBattle04Pickup,block,Blocks,,Derby #3 - Driveable,Derby #3 - 可駕駛
vehicleBlockBattle04Empty,block,Blocks,,Derby #3 - Broken,Derby #3 - 損壞
,,,,,
vehicleBattle05,entity,Entity,,Derby #4,Derby #4
vehicleBattle05Placeable,item,Items,,Derby #5,Derby #5
vehicleBlockBattle05,block,Blocks,,Derby #4 (Locked),Derby #4 (鎖定)
vehicleLootBlockBattle05,block,Blocks,,Derby #4,Derby #4
vehicleLoot2BlockBattle05,block,Blocks,,Derby #4,Derby #4
vehicleBlockBattle05Pickup,block,Blocks,,Derby #4 - Driveable,Derby #4 - 可駕駛
vehicleBlockBattle05Empty,block,Blocks,,Derby #4 - Broken,Derby #4 - 損壞
,,,,,
vehicleBattle06,entity,Entity,,Derby #5,Derby #5
vehicleBattle06Placeable,item,Items,,Derby #5,Derby #5
vehicleBlockBattle06,block,Blocks,,Derby #5 (Locked),Derby #5 (鎖定)
vehicleLootBlockBattle06,block,Blocks,,Derby #5,Derby #5
vehicleLoot2BlockBattle06,block,Blocks,,Derby #5,Derby #5
