Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish,中文機翻
mmGoMaxZombies,,,Main Menu Game Options,KgNone,Max Zombies Alive,,Max Zombies Alive,Max. Zombieanzahl,Zombies vivants max.,Máximo de zombis vivos,,,,,,,,最大存活殭屍量,,最大存活殭屍量
goMaxZombies,,UI,Menu,KgNone,Max Zombies Alive,,Max Zombies Alive,Max. Zombieanzahl,Zombies vivants max.,Máximo de zombis vivos,,,,,,,,最大存活殭屍量,,最大存活殭屍量
goMaxZombiesDesc,,UI,Menu,KgNone,Maximum amount of zombies that can spawn in the world.,,"Maximale Anzahl von Zombies, die auf der Welt erscheinen können.","Die maximale Anzahl an Spielern, die sich gleichzeitig mit deinem Spiel verbinden können.",Le nombre maximal de joueurs qui peuvent rejoindre simultanément votre partie.,Indica la cantidad máxima de jugadores simultáneos que se pueden unir a una partida.,,,,,,,,世界上可以產生的最大喪屍數量。,,世界上可以產生的最大喪屍數量。
goZombies,,UI,Menu,New,{0} Zombies,,{0} Zombies,{0} Zombies,{0} Des morts-vivants,{0} Zombies,,,,,,,,{0} 喪屍,,{0} 喪屍
mmGoMaxAnimals,,,Main Menu Game Options,KgNone,Max Animals Alive,,Max Animals Alive,max tiere am leben,max animaux vivants,max animales vivos,,,,,,,,最大存活動物量,,最大存活動物量
goMaxAnimals,,UI,Menu,KgNone,Max Animals Alive,,Max Animals Alive,Max. Zombieanzahl,Zombies vivants max.,Máximo de zombis vivos,,,,,,,,最大存活動物量,,最大存活動物量
goMaxAnimalsDesc,,UI,Menu,KgNone,Maximum amount of animals that can spawn in the world.,,"Maximale Anzahl von Tieren, die auf der Welt laichen können.","Maximale Anzahl von Tieren, die auf der Welt laichen können.",Nombre maximum d'animaux pouvant se reproduire dans le monde.,Cantidad máxima de animales que pueden desovar en el mundo.,,,,,,,,世界上可以產生的最大動物數量。,,世界上可以產生的最大動物數量。
goAnimals,,UI,Menu,New,{0} Animals,,{0} Tiere,{0} Tiere,{0} Animaux,{0} Los animales,,,,,,,,{0} 動物,,{0} 動物
mmGoLandClaimCount,,,Main Menu Game Options,KgNone,Land Claim Amount,,Landanspruchsbetrag,Landanspruchsbetrag,Montant de la revendication territoriale,Cantidad de reclamo de tierra,,,,,,,,宣稱領地量,,宣稱領地量
goLandClaimCount,,UI,Menu,KgNone,Claim Amount,,Anspruchsbetrag,Anspruchsbetrag,Montant de la réclamation,Reclamar cantidad,,,,,,,,宣稱量,,宣稱量
goLandClaimCountDesc,,UI,Menu,KgNone,The amount of land claim blocks a player can have active.,,"Die Menge der Landanspruchsblöcke, die ein Spieler aktiv haben kann.","Die Anzahl der Landanspruchsblöcke, die ein Spieler aktiv haben kann.",Le nombre de revendications territoriales qu'un joueur peut avoir actives.,La cantidad de bloques de reclamo de tierra que un jugador puede tener activo.,,,,,,,,玩家可以擁有的活躍土地聲索區塊數量。,,玩家可以擁有的活躍土地聲索區塊數量。
goLandClaimCountValue,,UI,Menu,KgNone,{0} block,,{0} blockieren,{0} Block,{0} bloc,Bloques: {0},,,,,,,,{0} 區塊,,{0} 區塊
goLandClaimCountValues,,UI,Menu,KgNone,{0} blocks,,{0} Blöcke,{0} Blöcke,{0} blocs,Bloques: {0},,,,,,,,{0} 區塊,,{0} 區塊
