Key,English,French,tchinese
takeandreplace,Rip off,Changer,撕裂
musicbox_turnOn,Turn On,Allumer,開啟
musicbox_turnOff,Turn Off,Eteindre,關閉
BanditFactionSchematic,Master of disguse,Maitre de l'écoeurement,偽裝大師
UndeadFactionSchematic,Master of disguse,Maitre de l'écoeurement,偽裝大師
DukeRiverFactionSchematic,Master of disguse,Maitre de l'écoeurement,偽裝大師
WhiteRiverFactionSchematic,Master of disguse,Maitre de l'écoeurement,偽裝大師
ResetFactionSchematic,Master of disguse,Maitre de l'écoeurement,偽裝大師
ResetFactionSchematicDesc,Read this to reset your faction!,le Reseter Le Faction...er...,閱讀此內容以重置你的陣營！
BanditFactionSchematicDesc,Read this to switch over to the bandit faction!,Lisez ceci pour basculer dans la faction des bandits!,閱讀此內容以切換到盜匪陣營！
UndeadFactionSchematicDesc,Read this to switch over to the undead faction!,Lisez ceci pour basculer dans la faction des morts-vivants!,閱讀此內容以切換到不死族陣營！
WhiteRiverFactionSchematicDesc,Read this to switch over to the White River faction!,Lisez ceci pour basculer dans la faction White River!,閱讀此內容以切換到白河陣營！
DukeRiverFactionSchematicDesc,Read this to switch over to the Duke faction!,Lisez ceci pour basculer dans la faction du Duke!,閱讀此內容以切換到公爵陣營！
UndeadPositiveFactionSchematic,Peace and Love to the Undead,,和平與愛給予不死族
UndeadPositiveFactionSchematicDesc,Read this to spread the message of the undead! Increase your standings with the undead!,,閱讀此內容以散播不死族的訊息！提升你在不死族中的地位！
UndeadNegativeFactionSchematic,Undead: Unreliable! Untrustworthy!,,不死族：不可靠！不可信！
UndeadNegativeFactionSchematicDesc,Read this to spread lies and fake news about the undead! Decrease your standings with the undead!,,閱讀此內容以散播關於不死族的謊言和假新聞！降低你在不死族中的地位！
advancedlockpicking_desc,Use the arrow keys to change the position of the pick locks. Then space to try to unlock.,,使用箭頭鍵來改變撬鎖的位置。然後按空格嘗試解鎖。
SpawnCube,Spawn Cube,,生成方塊
SpawnCubeDesc,"Allows Prefab builders to set up specific spawn entities via in-game programmable code:  Sign Text:  ec=npcBaker;task=wander;pc=99. Entity Class zombie Bow, with Task Wander, and PathingCode 99.",,允許預製建築師透過遊戲內可程式設計的程式碼來設定特定的生成實體：標誌文字：ec=npcBaker；task=wander；pc=99。實體類別為殭屍弓箭手，具有漫遊任務和路徑代碼 99。
loadingTipScoreSigns_title,(SCore) Enhanced Signs,,(SCore) 增強標誌
loadingTipScoreSigns,"Enter a URL for an image or gif, like an imgur link, in a sign's edit box to display the image on the sign! Re-Edit to change it.",,在標誌的編輯方塊中輸入圖像或 gif 的 URL，例如 imgur 連結，以在標誌上顯示圖像！重新編輯以變更它。
teleportto,Teleport To,,傳送到
portal_not_configured,Not Configured,,未設定
portal_configure,Not Connected,,未連接
portalActivate,Activate Portal,,啟動傳送門
ObjectiveEntityAliveSDXKill_keyword,Kill {0}:,,殺死 {0}:
teleporttoNeedPower,Needs Power,,需要電力
xuiPinGrab,Broadcast,,廣播
ObjectiveBlockDestroy_keyword,Destroy {0}:,Le Destroy {0},摧毀 {0}:
xuiSCoreGameOptions,SCore,Le SCore,SCore
goCustomAdvancedPlayerFeaturesAntiNerdPole,Disable Nerd-Poling,Le Disable Nerd-Poling,停用書呆子撐桿
goCustomAdvancedPlayerFeaturesAntiNerdPoleDesc,Disables placing blocks when jumping.,,在跳躍時停用放置方塊。
goCustomAdvancedPlayerFeaturesVehicleNoTake,Disable Vehicle Pickup,Le Disable Vehicle Pickup,停用載具拾取
